,mem,opt,banks,tREAD,tWRITE,eREAD,eWRITE,pLEAK,area,runtime,nREAD,nWRITE,eREADs,eWRITEs,eLEAK,eTOTAL
0,PCRAM,Area,1,66.918,105.704,5.21957e-10,6.521e-09,0.027884,0.309007037,4.971777,13422248.0,1251051.0,0.007005836299336,0.008158103571,0.138633029868,0.153796969738336
1,STTRAM,ReadEDP,32,2.884,10.922,5.0701e-11,1.02185e-10,0.568334,2.204,4.53695,13422250.0,1251051.0,0.00068052149725,0.000127838646435,2.5785029413,2.579311301443685
2,STTRAM,ReadDynamicEnergy,8,79.992,88.485,2.8768e-11,7.4804e-11,0.09378,1.934,4.870786,13422248.0,1251051.0,0.000386131230464,9.3583619004e-05,0.45678231108,0.457262025929468
3,RRAM,ReadDynamicEnergy,8,4.672,23.73,2.6601e-11,1.14281e-10,0.28118,0.352295815,4.547864,13422237.0,1251051.0,0.00035704492643699997,0.000142971359331,1.2787683995199999,1.2792684158057679
4,STTRAM,Area,1,314.36,322.387,5.7369e-11,8.109199999999999e-11,0.027903,1.786,6.472385,13422247.0,1251052.0,0.0007700208881430001,0.000101450308784,0.180598958655,0.181470429851927
5,RRAM,ReadEDP,64,2.159,20.67,3.0992e-11,6.5882e-11,0.377108,0.465897103,4.533034,13422251.0,1251051.0,0.000415982402992,8.2421741982e-05,1.709443385672,1.709941789816974
6,STTRAM,ReadLatency,512,2.659,10.686,1.1459799999999999e-10,1.60393e-10,1.583,2.503,4.532669,13422252.0,1251051.0,0.001538163234696,0.000200659823043,7.175215027,7.176953850057739
7,PCRAM,ReadDynamicEnergy,64,4.542,44.335,1.6953e-11,6.494e-09,0.25542,0.467860639,4.54384,13422237.0,1251051.0,0.000227547183861,0.008124325194,1.1605876128,1.168939485177861
8,RRAM,Area,4,11.586,30.432,1.1633499999999999e-10,2.0256399999999998e-10,0.162125,0.2025523089999999,4.584833,13422248.0,1251051.0,0.00156147722108,0.00025341789476399996,0.7433160501249999,0.7451309452408439
9,PCRAM,ReadEDP,128,0.48671,40.304,2.103e-11,6.502e-09,0.473781,0.549767475,4.525955,13422249.0,1251051.0,0.00028226989647,0.008134333602,2.144311485855,2.1527280893534697
10,RRAM,ReadLatency,256,1.948,20.428,4.9353e-11,8.287000000000001e-11,0.869563,0.546025131,4.53281,13422242.0,1251051.0,0.000662427909426,0.00010367459637000001,3.9415638620299993,3.942329964535795
11,PCRAM,ReadLatency,512,0.465088,40.264,2.3251e-11,6.505e-09,0.674297,0.7161493939999999,4.525918,13422249.0,1251051.0,0.00031208071149899997,0.008138086755000001,3.051812929646,3.0602630971124993
